firstname,lastname,date_of_birth,primary_poc,phone_number,email,student_address,client_name,client_type,client_address,vaccine_manufacturer,vaccine_manufacturer_address,vaccine_manufacturer_phone_number,vaccine_manufacturer_email,vaccine_type,vaccine_provider_name,vaccine_provider_address,vaccine_provider_phone_number,notes,health_insurance_provider,health_insurance_group,health_insurance_phone_number,dose_1,dose_2
Cherrita,Sherfield,2004-11-28,Wileen,91734344,Cherrita.Sherfield@gmail.com,76 AstoriaBlvd,Baruch,college,"55 Lexington Ave, New York, NY 10010",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,allergic to first dose,Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-02-14,2021-05-11
Layla,Kat,1942-11-16,Teriann,382179843,Layla.Kat@gmail.com,76 AstoriaBlvd,Lehman,college,"250 Bedford Park Blvd W, Bronx, NY 10468",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-01-30,NULL
Raf,Kaja,1922-07-21,Berget,970646908,Raf.Kaja@gmail.com," 4 Old Shore Rd. San Franciso",Brooklyn,library,"2900 Bedford Ave, Brooklyn, NY 11210",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Walgreens Pharmacy,"351 N. Philmont Ave. Ithaca, NY 14850",1(212)-756-9898,allergic to first dose,Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-03-25,NULL
Kimberley,Tiffa,1919-06-06,Tybie,953507842,Kimberley.Tiffa@gmail.com,5 OakLeaf Boulvd. 101123,Hunter,college,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,allergic to first dose,Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-03-10,2021-05-11
Lesly,Mauer,1999-05-07,Di,386734051,Lesly.Mauer@gmail.com,123 Lexington Ave.,Brooklyn,cafe,"2900 Bedford Ave, Brooklyn, NY 11210",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",United Healthcare,United Healthcaregroup,1(800)-675-8943,2021-01-09,2021-05-11
Joleen,Greenwald,1984-05-30,Mariann,770392905,Joleen.Greenwald@gmail.com,123 Lexington Ave.,Hunter,institution,"695 Park Ave, New York, NY 10065",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,"allergic to first dose,severe side effects",CVS,CVSgroup,1(800)-567-3875,2021-01-24,NULL
Cathie,Klemperer,1935-06-26,Jolyn,380733798,Cathie.Klemperer@gmail.com,76 AstoriaBlvd,Brooklyn,college,"2900 Bedford Ave, Brooklyn, NY 11210",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-02-10,2021-05-11
Lulita,Rustice,1900-06-03,Nyssa,278855227,Lulita.Rustice@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Hunter,cafe,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-02-19,2021-05-11
Deane,Bendick,1902-09-02,Rochette,206851041,Deane.Bendick@gmail.com,76 AstoriaBlvd,Brooklyn,cafe,"2900 Bedford Ave, Brooklyn, NY 11210",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure,new strain detected",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-01-23,NULL
Merrie,Remmer,1959-01-17,Odessa,733189485,Merrie.Remmer@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Hunter,college,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Walgreens Pharmacy,"351 N. Philmont Ave. Ithaca, NY 14850",1(212)-756-9898,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-02-07,2021-05-11
Hermione,Screens,1953-12-02,Binny,78365311,Hermione.Screens@gmail.com," 4 Old Shore Rd. San Franciso",Lehman,library,"250 Bedford Park Blvd W, Bronx, NY 10468",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure,new strain detected",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-02-28,2021-05-11
Diena,Georgy,1997-10-23,Tatiania,289830259,Diena.Georgy@gmail.com," 4 Old Shore Rd. San Franciso",Brooklyn,college,"2900 Bedford Ave, Brooklyn, NY 11210",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,allergic to first dose,Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2020-12-29,2021-05-11
Joleen,Glovsky,1928-06-17,Ada,375411943,Joleen.Glovsky@gmail.com,123 Lexington Ave.,Lehman,institution,"250 Bedford Park Blvd W, Bronx, NY 10468",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects,previous exposure,new strain detected",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-02-01,2021-05-11
